timestamp,method,route,count,total_ms,avg_ms,p95_ms,max_ms,statuses,bytes,top_paths
2026-06-11T22:51:39+09:00,GET,/image/:filename{[0-9]+\.(png|jpg|gif)},7549,90253.128,11.956,35.38,71.8,200:7549,0,/image/10498.jpg:39 /image/10000.png:39 /image/10574.jpg:37
2026-06-11T22:51:39+09:00,GET,/,1165,53176.483,45.645,86.53,113.979,200:1165,0,/:1165
2026-06-11T22:51:39+09:00,GET,/posts/:id,893,35046.302,39.246,76.537,111.06,200:893,0,/posts/9907:3 /posts/9670:3 /posts/8315:2
2026-06-11T22:51:39+09:00,POST,/login,859,21705.686,25.269,51.126,90.963,302:859,0,/login:859
2026-06-11T22:51:39+09:00,GET,/:accountName{@[A-Za-z0-9_]+},259,18677.222,72.113,126.548,178.671,200:259,0,/@concetta:3 /@nell:3 /@meagan:2
2026-06-11T22:51:39+09:00,POST,/register,237,11957.946,50.455,79.8,94.086,302:237,0,/register:237
2026-06-11T22:51:39+09:00,GET,/*,3172,7910.096,2.494,12.789,50.602,200:3172,4227483,/favicon.ico:793 /js/timeago.min.js:793 /js/main.js:793
2026-06-11T22:51:39+09:00,POST,/,286,7392.631,25.848,65.652,95.772,302:143 422:143,0,/:286
2026-06-11T22:51:39+09:00,GET,/posts,118,4968.675,42.107,78.223,101.522,200:118,0,/posts:118
2026-06-11T22:51:39+09:00,POST,/comment,207,4821.066,23.29,52.116,70.863,302:207,0,/comment:207
2026-06-11T22:51:39+09:00,GET,/admin/banned,237,2128.422,8.981,27.78,54.068,403:237,0,/admin/banned:237
2026-06-11T22:51:39+09:00,GET,/initialize,1,566.582,566.582,566.582,566.582,200:1,0,/initialize:1
2026-06-11T22:51:39+09:00,GET,/login,86,424.597,4.937,14.936,37.692,200:86,0,/login:86
2026-06-11T22:51:39+09:00,GET,/logout,43,161.53,3.757,12.151,26.354,302:43,0,/logout:43
2026-06-11T22:57:24+09:00,GET,/image/:filename{[0-9]+\.(png|jpg|gif)},7334,74024.265,10.093,35.442,88.521,200:7334,0,/image/10641.jpg:39 /image/10000.png:38 /image/9999.jpg:38
2026-06-11T22:57:24+09:00,GET,/,1204,44226.159,36.733,79.163,117.132,200:1204,0,/:1204
2026-06-11T22:57:24+09:00,GET,/posts/:id,867,27894.464,32.174,73.062,198.344,200:867,0,/posts/9991:3 /posts/7799:3 /posts/10690:3
2026-06-11T22:57:24+09:00,POST,/login,889,21795.151,24.516,53.817,160.908,302:889,0,/login:889
2026-06-11T22:57:24+09:00,GET,/:accountName{@[A-Za-z0-9_]+},279,15822.966,56.713,109.179,139.558,200:279,0,/@daphne:3 /@catalina:3 /@deanne:2
2026-06-11T22:57:24+09:00,POST,/register,253,11668.512,46.121,80.89,202.528,302:253,0,/register:253
2026-06-11T22:57:24+09:00,POST,/,284,8295.542,29.21,74.919,97.615,302:142 422:142,0,/:284
2026-06-11T22:57:24+09:00,GET,/*,2924,7694.063,2.631,12.802,48.403,200:2924,3896961,/favicon.ico:731 /js/timeago.min.js:731 /js/main.js:731
2026-06-11T22:57:24+09:00,GET,/posts,125,5056.095,40.449,81.746,187.933,200:125,0,/posts:125
2026-06-11T22:57:24+09:00,POST,/comment,229,4919.639,21.483,51.491,177.664,302:229,0,/comment:229
2026-06-11T22:57:24+09:00,GET,/admin/banned,253,2094.949,8.28,33.521,46.171,403:253,0,/admin/banned:253
2026-06-11T22:57:24+09:00,GET,/initialize,1,717.262,717.262,717.262,717.262,200:1,0,/initialize:1
2026-06-11T22:57:24+09:00,GET,/login,82,482.686,5.886,23.645,55.139,200:82,0,/login:82
2026-06-11T22:57:24+09:00,GET,/logout,41,209.661,5.114,18.18,36.379,302:41,0,/logout:41
2026-06-11T22:59:12+09:00,GET,/,1405,40565.118,28.872,72.581,151.47,200:1405,0,/:1405
2026-06-11T22:59:12+09:00,GET,/posts/:id,1116,26958.301,24.156,62.292,137.945,200:1116,0,/posts/8230:4 /posts/9122:3 /posts/9242:3
2026-06-11T22:59:12+09:00,POST,/login,1032,23130.713,22.413,42.8,80.022,302:1032,0,/login:1032
